"","description","FDR","enrich","cellType","logFDR"
"229","Selenoamino acid metabolism",1e-07,0.840750147784695,"Inh",7
"230","Metabolism of RNA",1e-07,0.813223692061892,"Inh",7
"231","Regulation of expression of SLITs and ROBOs",1e-07,0.806900077324683,"Inh",7
"232","Infectious disease",1e-07,0.780159114462123,"Inh",7
"233","Metabolism of amino acids and derivatives",1e-07,0.734140731478314,"Inh",7
"234","Signaling by ROBO receptors",1e-07,0.747985765591112,"Inh",7
"235","Translation initiation complex formation",1e-07,0.869463869463869,"Inh",7
"236","Formation of the ternary complex, and subsequently, the 43S complex",1e-07,0.869463869463869,"Inh",7
"237","Ribosomal scanning and start codon recognition",1e-07,0.869463869463869,"Inh",7
"238","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1e-07,0.856509169932384,"Inh",7
"239","Metabolism of steroids",1e-07,0.735240967159767,"Inh",7
"240","Regulation of cholesterol biosynthesis by SREBP (SREBF)",1e-07,0.814196395556471,"Inh",7
"241","Axon guidance",3.15538061813766e-05,0.58067082751521,"Inh",4.50094824643987
"242","Cellular responses to external stimuli",3.2430300797526e-05,0.62757669843469,"Inh",4.48904902314017
"243","Cholesterol biosynthesis",3.33568808203124e-05,0.856900767470352,"Inh",4.47681456672316
"244","Activation of gene expression by SREBF (SREBP)",3.43379655503216e-05,0.80674879332319,"Inh",4.46422543941514
"245","Cellular responses to stress",6.14468857216281e-05,0.635665746208914,"Inh",4.21150012332571
"246","Metabolism",8.9806986823918e-05,0.544829961283218,"Inh",4.04668987467972
"247","Metabolism of proteins",0.000116749082871093,0.552109766940406,"Inh",3.93274652237288
"248","Developmental Biology",0.000170852316396722,0.549427654342813,"Inh",3.76737912870897
"249","Interleukin-10 signaling",0.00059732088910792,0.775623487020764,"Inh",3.22379229713026
"250","Disease",0.000611542815039061,0.536697094910776,"Inh",3.21357313194857
"251","Interleukin-4 and Interleukin-13 signaling",0.00143282965341796,0.624835902130567,"Inh",2.8438054390361
"252","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",0.00184204108529947,0.842649405341544,"Inh",2.73470068742915
"253","M Phase",0.00197965836172724,0.636494419407402,"Inh",2.70340975136397
"254","Oxidative Stress Induced Senescence",0.00303050810856881,0.7133767998135,"Inh",2.51848454963385
"255","Senescence-Associated Secretory Phenotype (SASP)",0.00338085885814208,0.704003377817722,"Inh",2.47097295949437
"256","Organelle biogenesis and maintenance",0.00390752032466517,0.720051160635167,"Inh",2.4080987543537
"257","Cellular Senescence",0.00602425267614842,0.63507248300328,"Inh",2.22009682074567
"258","Mitotic Metaphase and Anaphase",0.00682533099861777,0.697615667704285,"Inh",2.16587628239893
"259","Mitotic Anaphase",0.00682533099861777,0.697615667704285,"Inh",2.16587628239893
"260","Iron uptake and transport",0.00883327966628462,0.737120916478079,"Inh",2.05387801935349
"261","Fc epsilon receptor (FCERI) signaling",0.0112425042764757,0.635623616854894,"Inh",1.94913693856105
"262","TNFR2 non-canonical NF-kB pathway",0.0118416926912109,0.681259391830081,"Inh",1.92658621366806
"263","Separation of Sister Chromatids",0.0120569961946875,0.689348191599673,"Inh",1.91876087615611
"264","Metabolism of lipids",0.013436385677796,0.508280805194117,"Inh",1.87171753866971
"265","Cellular response to heat stress",0.0137079526612439,0.74487888509006,"Inh",1.86302740402303
"266","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",0.0146233173291081,0.785114760013741,"Inh",1.8349540956202
"267","Hedgehog 'off' state",0.0164032461433886,0.690357909672915,"Inh",1.78507019813178
"268","CLEC7A (Dectin-1) signaling",0.0165171243471727,0.646855861366745,"Inh",1.78206556166844
"269","Circadian Clock",0.0174370404417149,0.743538745357598,"Inh",1.7585272251892
"270","Regulation of mRNA stability by proteins that bind AU-rich elements",0.0201253180949218,0.732755639299012,"Inh",1.69625724657363
"271","Regulation of Hypoxia-inducible Factor (HIF) by oxygen",0.0216870266060546,0.753755754032037,"Inh",1.66379998773235
"272","Cellular response to hypoxia",0.0216870266060546,0.753755754032037,"Inh",1.66379998773235
"273","Signaling by Hedgehog",0.0218860967292677,0.648327751308492,"Inh",1.65983168567253
"274","Beta-catenin independent WNT signaling",0.022098933543457,0.624539608728575,"Inh",1.65562868411431
"275","Regulation of RUNX2 expression and activity",0.022218809833905,0.790679219107162,"Inh",1.65327920805991
"276","Mitotic Prometaphase",0.0223883535388097,0.673258848217424,"Inh",1.64997784368322
"277","The citric acid (TCA) cycle and respiratory electron transport",0.0224022877856997,0.71173675083892,"Inh",1.64970762800645
"278","FCERI mediated Ca+2 mobilization",0.0236338008298511,0.715385603740623,"Inh",1.62646642874041
"279","Cell Cycle Checkpoints",0.0237176561503879,0.59304221178413,"Inh",1.62492823146495
"280","Chaperonin-mediated protein folding",0.0237714104845865,0.720323366836997,"Inh",1.62394504849904
"281","Protein folding",0.0237714104845865,0.720323366836997,"Inh",1.62394504849904
"282","Regulation of HSF1-mediated heat shock response",0.0268367225159687,0.777401582901338,"Inh",1.57127052427589
"283","Transcriptional regulation by small RNAs",0.0274974813604286,0.706595026495394,"Inh",1.56070708367378
"284","Degradation of beta-catenin by the destruction complex",0.0333872052574218,0.703664669634153,"Inh",1.47641993290963
"285","Cell Cycle, Mitotic",0.0336207801938908,0.526815352405751,"Inh",1.47339221267019
"286","The role of GTSE1 in G2/M progression after G2 checkpoint",0.0340368480062649,0.73848448489889,"Inh",1.46805066471164
"287","PPARA activates gene expression",0.0343840286748403,0.619175584993213,"Inh",1.46364323966907
"288","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)",0.0343840286748403,0.619175584993213,"Inh",1.46364323966907
"289","RHO GTPase Effectors",0.034898129470263,0.535354871180634,"Inh",1.45719785047675
"290","Hedgehog 'on' state",0.0349955375906103,0.686486001380965,"Inh",1.45598733060199
"291","Gene Silencing by RNA",0.0386096084647816,0.658072297861404,"Inh",1.41330460247973
"292","Signaling by TGF-beta Receptor Complex",0.0387773739536132,0.664275495384037,"Inh",1.41142160516116
"293","C-type lectin receptors (CLRs)",0.0392436121741698,0.605938534015056,"Inh",1.40623102486218
